repo,avgIssueLatency,nLinksOfProject,propOfWithinEcoLinks,propOfCrossEcoLinks
jruby/jruby,114.8733766,1781,0.133632791,0.08983717
jruby/jruby-rack,41.46457143,84,0.297619048,0.071428571
jruby/warbler,347.9976231,180,0.272222222,0.033333333
jruby-gradle/jruby-gradle-plugin,22.33316087,110,0.045454545,0.054545455
json-api/json-api,98.66829261,1014,0.012820513,0.019723866
JuanitoFatas/fast-ruby,28.09846667,22,0.181818182,0
julianguyen/ifme,53.40663929,97,0.051546392,0.010309278
justinfrench/formtastic,156.6524181,322,0.124223602,0.00931677
jwhitley/requirejs-rails,93.22924167,139,0.071942446,0.014388489
jwt/ruby-jwt,20.96688333,52,0.057692308,0.134615385
ka8725/migration_data,75.0063,4,0.25,0
kavkaz/js_assets,0.065,4,0.25,0
kenn/slavery,5.33,2,1,0
kennethreitz/requests,50.60073575,1992,0.002008032,0.117971888
kern/minitest-reporters,46.38439474,53,0.150943396,0.018867925
KineticCafe/marlowe,230.9666,2,0.5,0
KKBOX/FireApp,190.5347088,58,0.137931034,0.275862069
kollegorna/active_hash_relation,3.7508,5,0.2,0
kostia/jquery-minicolors-rails,3.36355,4,0.5,0.25
kpumuk/meta-tags,216.4566909,46,0.173913043,0.043478261
krhorst/active_admin_importable,0.8061,4,0.25,0
krisleech/wisper-activerecord,27.5435,5,0.2,0
laravel/framework,29.09595622,5616,0.010683761,0.068376068
lardawge/carrierwave_backgrounder,73.36445,67,0.223880597,0
laserlemon/figaro,44.06433478,88,0.068181818,0.011363636
lautis/uglifier,35.746075,31,0.322580645,0.35483871
leikind/wice_grid,78.87241875,35,0.114285714,0.057142857
lgromanowski/letsencrypt-plugin,18.15716667,13,0.153846154,0.076923077
linuxfoundation/cii-best-practices-badge,52.03534603,165,0.060606061,0.084848485
